 1) residual u*:  3.942326468488577E-003
 2) residual u0:   6.66000000000000     
 3) eps:  1.000000000000000E-003 m:         138
 4) rho:  0.951056513593641     
    k    &    ||F-A*Uk||    &     rel.d        &     ||Uk-u*||    &     rel.error    &  ||Uk - Uk-1||   &    apost.er.     &    dash_rho_k
   47    &     0.380E+00    &     0.570E-01    &     0.368E-01    &     0.266E-01    &     0.199E-02    &     0.387E-01    &     0.951E+00
   48    &     0.371E+00    &     0.557E-01    &     0.351E-01    &     0.254E-01    &     0.185E-02    &     0.360E-01    &     0.949E+00
   49    &     0.344E+00    &     0.516E-01    &     0.333E-01    &     0.241E-01    &     0.180E-02    &     0.350E-01    &     0.951E+00
   50    &     0.334E+00    &     0.502E-01    &     0.318E-01    &     0.229E-01    &     0.167E-02    &     0.325E-01    &     0.949E+00
   51    &     0.311E+00    &     0.467E-01    &     0.301E-01    &     0.218E-01    &     0.163E-02    &     0.317E-01    &     0.951E+00
   52    &     0.301E+00    &     0.452E-01    &     0.287E-01    &     0.207E-01    &     0.151E-02    &     0.293E-01    &     0.949E+00
   53    &     0.281E+00    &     0.422E-01    &     0.273E-01    &     0.197E-01    &     0.148E-02    &     0.287E-01    &     0.951E+00
   54    &     0.272E+00    &     0.408E-01    &     0.260E-01    &     0.188E-01    &     0.136E-02    &     0.264E-01    &     0.950E+00
   55    &     0.254E+00    &     0.382E-01    &     0.247E-01    &     0.178E-01    &     0.133E-02    &     0.259E-01    &     0.951E+00
   56    &     0.245E+00    &     0.368E-01    &     0.235E-01    &     0.170E-01    &     0.123E-02    &     0.238E-01    &     0.950E+00
   57    &     0.230E+00    &     0.345E-01    &     0.223E-01    &     0.161E-01    &     0.121E-02    &     0.235E-01    &     0.951E+00
   58    &     0.221E+00    &     0.332E-01    &     0.213E-01    &     0.154E-01    &     0.111E-02    &     0.215E-01    &     0.950E+00
   59    &     0.208E+00    &     0.312E-01    &     0.202E-01    &     0.146E-01    &     0.109E-02    &     0.212E-01    &     0.951E+00
   60    &     0.200E+00    &     0.300E-01    &     0.192E-01    &     0.139E-01    &     0.999E-03    &     0.194E-01    &     0.950E+00
   61    &     0.188E+00    &     0.282E-01    &     0.182E-01    &     0.132E-01    &     0.988E-03    &     0.192E-01    &     0.951E+00
   62    &     0.180E+00    &     0.271E-01    &     0.174E-01    &     0.126E-01    &     0.902E-03    &     0.175E-01    &     0.950E+00
   63    &     0.170E+00    &     0.255E-01    &     0.165E-01    &     0.119E-01    &     0.893E-03    &     0.174E-01    &     0.951E+00
   64    &     0.163E+00    &     0.245E-01    &     0.157E-01    &     0.114E-01    &     0.815E-03    &     0.158E-01    &     0.950E+00
   65    &     0.154E+00    &     0.231E-01    &     0.149E-01    &     0.108E-01    &     0.808E-03    &     0.157E-01    &     0.951E+00
   66    &     0.147E+00    &     0.221E-01    &     0.142E-01    &     0.103E-01    &     0.736E-03    &     0.143E-01    &     0.951E+00
   67    &     0.139E+00    &     0.209E-01    &     0.135E-01    &     0.975E-02    &     0.731E-03    &     0.142E-01    &     0.951E+00
   68    &     0.133E+00    &     0.200E-01    &     0.129E-01    &     0.929E-02    &     0.665E-03    &     0.129E-01    &     0.951E+00
   69    &     0.126E+00    &     0.189E-01    &     0.122E-01    &     0.882E-02    &     0.661E-03    &     0.128E-01    &     0.951E+00
   70    &     0.120E+00    &     0.180E-01    &     0.116E-01    &     0.841E-02    &     0.601E-03    &     0.117E-01    &     0.951E+00
   71    &     0.114E+00    &     0.171E-01    &     0.110E-01    &     0.797E-02    &     0.598E-03    &     0.116E-01    &     0.951E+00
   72    &     0.109E+00    &     0.163E-01    &     0.105E-01    &     0.760E-02    &     0.543E-03    &     0.106E-01    &     0.951E+00
   73    &     0.103E+00    &     0.155E-01    &     0.999E-02    &     0.721E-02    &     0.541E-03    &     0.105E-01    &     0.951E+00
   74    &     0.982E-01    &     0.147E-01    &     0.953E-02    &     0.688E-02    &     0.491E-03    &     0.954E-02    &     0.951E+00
   75    &     0.932E-01    &     0.140E-01    &     0.904E-02    &     0.652E-02    &     0.489E-03    &     0.951E-02    &     0.951E+00
   76    &     0.888E-01    &     0.133E-01    &     0.862E-02    &     0.622E-02    &     0.444E-03    &     0.863E-02    &     0.951E+00
   77    &     0.843E-01    &     0.127E-01    &     0.817E-02    &     0.590E-02    &     0.443E-03    &     0.860E-02    &     0.951E+00
   78    &     0.803E-01    &     0.121E-01    &     0.779E-02    &     0.563E-02    &     0.401E-03    &     0.780E-02    &     0.951E+00
   79    &     0.762E-01    &     0.114E-01    &     0.739E-02    &     0.534E-02    &     0.400E-03    &     0.778E-02    &     0.951E+00
   80    &     0.726E-01    &     0.109E-01    &     0.705E-02    &     0.509E-02    &     0.363E-03    &     0.705E-02    &     0.951E+00
   81    &     0.690E-01    &     0.104E-01    &     0.669E-02    &     0.483E-02    &     0.362E-03    &     0.703E-02    &     0.951E+00
   82    &     0.656E-01    &     0.985E-02    &     0.638E-02    &     0.460E-02    &     0.328E-03    &     0.638E-02    &     0.951E+00
   83    &     0.624E-01    &     0.936E-02    &     0.605E-02    &     0.437E-02    &     0.327E-03    &     0.636E-02    &     0.951E+00
   84    &     0.593E-01    &     0.891E-02    &     0.577E-02    &     0.416E-02    &     0.297E-03    &     0.577E-02    &     0.951E+00
   85    &     0.564E-01    &     0.847E-02    &     0.547E-02    &     0.395E-02    &     0.296E-03    &     0.576E-02    &     0.951E+00
   86    &     0.537E-01    &     0.806E-02    &     0.522E-02    &     0.377E-02    &     0.268E-03    &     0.521E-02    &     0.951E+00
   87    &     0.510E-01    &     0.766E-02    &     0.495E-02    &     0.357E-02    &     0.268E-03    &     0.521E-02    &     0.951E+00
   88    &     0.485E-01    &     0.729E-02    &     0.472E-02    &     0.341E-02    &     0.243E-03    &     0.471E-02    &     0.951E+00
   89    &     0.462E-01    &     0.693E-02    &     0.448E-02    &     0.323E-02    &     0.242E-03    &     0.471E-02    &     0.951E+00
   90    &     0.439E-01    &     0.659E-02    &     0.427E-02    &     0.308E-02    &     0.219E-03    &     0.426E-02    &     0.951E+00
   91    &     0.417E-01    &     0.627E-02    &     0.405E-02    &     0.292E-02    &     0.219E-03    &     0.426E-02    &     0.951E+00
   92    &     0.397E-01    &     0.596E-02    &     0.386E-02    &     0.279E-02    &     0.198E-03    &     0.386E-02    &     0.951E+00
   93    &     0.378E-01    &     0.567E-02    &     0.366E-02    &     0.264E-02    &     0.198E-03    &     0.385E-02    &     0.951E+00
   94    &     0.359E-01    &     0.539E-02    &     0.349E-02    &     0.252E-02    &     0.179E-03    &     0.349E-02    &     0.951E+00
   95    &     0.342E-01    &     0.513E-02    &     0.331E-02    &     0.239E-02    &     0.179E-03    &     0.348E-02    &     0.951E+00
   96    &     0.325E-01    &     0.487E-02    &     0.316E-02    &     0.228E-02    &     0.162E-03    &     0.315E-02    &     0.951E+00
   97    &     0.309E-01    &     0.464E-02    &     0.300E-02    &     0.216E-02    &     0.162E-03    &     0.315E-02    &     0.951E+00
   98    &     0.294E-01    &     0.441E-02    &     0.286E-02    &     0.206E-02    &     0.147E-03    &     0.285E-02    &     0.951E+00
   99    &     0.279E-01    &     0.420E-02    &     0.271E-02    &     0.196E-02    &     0.147E-03    &     0.285E-02    &     0.951E+00
  100    &     0.266E-01    &     0.399E-02    &     0.258E-02    &     0.187E-02    &     0.133E-03    &     0.258E-02    &     0.951E+00
  101    &     0.253E-01    &     0.379E-02    &     0.245E-02    &     0.177E-02    &     0.133E-03    &     0.258E-02    &     0.951E+00
  102    &     0.240E-01    &     0.361E-02    &     0.234E-02    &     0.169E-02    &     0.120E-03    &     0.233E-02    &     0.951E+00
  103    &     0.229E-01    &     0.343E-02    &     0.222E-02    &     0.160E-02    &     0.120E-03    &     0.233E-02    &     0.951E+00
  104    &     0.217E-01    &     0.326E-02    &     0.211E-02    &     0.153E-02    &     0.109E-03    &     0.211E-02    &     0.951E+00
  105    &     0.207E-01    &     0.310E-02    &     0.201E-02    &     0.145E-02    &     0.109E-03    &     0.211E-02    &     0.951E+00
  106    &     0.196E-01    &     0.295E-02    &     0.191E-02    &     0.138E-02    &     0.982E-04    &     0.191E-02    &     0.951E+00
  107    &     0.187E-01    &     0.281E-02    &     0.181E-02    &     0.131E-02    &     0.982E-04    &     0.191E-02    &     0.951E+00
  108    &     0.178E-01    &     0.267E-02    &     0.173E-02    &     0.125E-02    &     0.888E-04    &     0.173E-02    &     0.951E+00
  109    &     0.169E-01    &     0.254E-02    &     0.164E-02    &     0.118E-02    &     0.888E-04    &     0.173E-02    &     0.951E+00
  110    &     0.161E-01    &     0.241E-02    &     0.156E-02    &     0.113E-02    &     0.804E-04    &     0.156E-02    &     0.951E+00
  111    &     0.153E-01    &     0.230E-02    &     0.148E-02    &     0.107E-02    &     0.803E-04    &     0.156E-02    &     0.951E+00
  112    &     0.145E-01    &     0.218E-02    &     0.142E-02    &     0.102E-02    &     0.727E-04    &     0.141E-02    &     0.951E+00
  113    &     0.138E-01    &     0.208E-02    &     0.134E-02    &     0.969E-03    &     0.727E-04    &     0.141E-02    &     0.951E+00
  114    &     0.131E-01    &     0.197E-02    &     0.128E-02    &     0.924E-03    &     0.657E-04    &     0.128E-02    &     0.951E+00
  115    &     0.125E-01    &     0.188E-02    &     0.121E-02    &     0.877E-03    &     0.657E-04    &     0.128E-02    &     0.951E+00
  116    &     0.119E-01    &     0.179E-02    &     0.116E-02    &     0.836E-03    &     0.595E-04    &     0.116E-02    &     0.951E+00
  117    &     0.113E-01    &     0.170E-02    &     0.110E-02    &     0.793E-03    &     0.595E-04    &     0.116E-02    &     0.951E+00
  118    &     0.108E-01    &     0.162E-02    &     0.105E-02    &     0.756E-03    &     0.538E-04    &     0.105E-02    &     0.951E+00
  119    &     0.102E-01    &     0.154E-02    &     0.993E-03    &     0.717E-03    &     0.538E-04    &     0.104E-02    &     0.951E+00
  120    &     0.973E-02    &     0.146E-02    &     0.947E-03    &     0.684E-03    &     0.486E-04    &     0.945E-03    &     0.951E+00
  121    &     0.926E-02    &     0.139E-02    &     0.898E-03    &     0.649E-03    &     0.486E-04    &     0.945E-03    &     0.951E+00
  122    &     0.880E-02    &     0.132E-02    &     0.857E-03    &     0.618E-03    &     0.440E-04    &     0.855E-03    &     0.951E+00
  123    &     0.838E-02    &     0.126E-02    &     0.813E-03    &     0.587E-03    &     0.440E-04    &     0.855E-03    &     0.951E+00
  124    &     0.796E-02    &     0.120E-02    &     0.775E-03    &     0.559E-03    &     0.398E-04    &     0.773E-03    &     0.951E+00
  125    &     0.758E-02    &     0.114E-02    &     0.735E-03    &     0.531E-03    &     0.398E-04    &     0.773E-03    &     0.951E+00
  126    &     0.720E-02    &     0.108E-02    &     0.701E-03    &     0.506E-03    &     0.360E-04    &     0.699E-03    &     0.951E+00
  127    &     0.686E-02    &     0.103E-02    &     0.665E-03    &     0.480E-03    &     0.360E-04    &     0.699E-03    &     0.951E+00
  128    &     0.651E-02    &     0.978E-03    &     0.634E-03    &     0.458E-03    &     0.326E-04    &     0.633E-03    &     0.951E+00
  129    &     0.620E-02    &     0.931E-03    &     0.601E-03    &     0.434E-03    &     0.326E-04    &     0.633E-03    &     0.951E+00
  130    &     0.589E-02    &     0.884E-03    &     0.573E-03    &     0.414E-03    &     0.294E-04    &     0.572E-03    &     0.951E+00
  131    &     0.561E-02    &     0.842E-03    &     0.544E-03    &     0.393E-03    &     0.294E-04    &     0.572E-03    &     0.951E+00
  132    &     0.533E-02    &     0.800E-03    &     0.519E-03    &     0.374E-03    &     0.266E-04    &     0.518E-03    &     0.951E+00
  133    &     0.507E-02    &     0.762E-03    &     0.492E-03    &     0.355E-03    &     0.266E-04    &     0.518E-03    &     0.951E+00
