 1) residual u*:  4.076738946423575E-013
 2) residual u0:   7.31500000000000     
 3) eps:  1.000000000000000E-003 m:         279
 4) rho:  0.987688339911341     
    k    &    ||F-A*Uk||    &     rel.d        &     ||Uk-u*||    &     rel.error    &  ||Uk - Uk-1||   &    apost.er.     &    dash_rho_k
  203    &     0.406E-12    &     0.555E-13    &     0.317E-02    &     0.190E-02    &     0.795E-04    &     0.638E-02    &     0.976E+00
  204    &     0.491E-12    &     0.671E-13    &     0.309E-02    &     0.185E-02    &     0.776E-04    &     0.622E-02    &     0.976E+00
  205    &     0.399E-12    &     0.545E-13    &     0.302E-02    &     0.180E-02    &     0.757E-04    &     0.607E-02    &     0.976E+00
  206    &     0.444E-12    &     0.607E-13    &     0.294E-02    &     0.176E-02    &     0.738E-04    &     0.592E-02    &     0.976E+00
  207    &     0.463E-12    &     0.633E-13    &     0.287E-02    &     0.172E-02    &     0.720E-04    &     0.578E-02    &     0.976E+00
  208    &     0.384E-12    &     0.525E-13    &     0.280E-02    &     0.167E-02    &     0.702E-04    &     0.563E-02    &     0.976E+00
  209    &     0.396E-12    &     0.542E-13    &     0.273E-02    &     0.163E-02    &     0.685E-04    &     0.550E-02    &     0.976E+00
  210    &     0.434E-12    &     0.594E-13    &     0.266E-02    &     0.159E-02    &     0.668E-04    &     0.536E-02    &     0.976E+00
  211    &     0.484E-12    &     0.662E-13    &     0.260E-02    &     0.155E-02    &     0.652E-04    &     0.523E-02    &     0.976E+00
  212    &     0.484E-12    &     0.662E-13    &     0.254E-02    &     0.152E-02    &     0.636E-04    &     0.510E-02    &     0.976E+00
  213    &     0.399E-12    &     0.545E-13    &     0.247E-02    &     0.148E-02    &     0.621E-04    &     0.498E-02    &     0.976E+00
  214    &     0.529E-12    &     0.724E-13    &     0.241E-02    &     0.144E-02    &     0.605E-04    &     0.486E-02    &     0.976E+00
  215    &     0.406E-12    &     0.555E-13    &     0.235E-02    &     0.141E-02    &     0.591E-04    &     0.474E-02    &     0.976E+00
  216    &     0.470E-12    &     0.642E-13    &     0.230E-02    &     0.137E-02    &     0.576E-04    &     0.462E-02    &     0.976E+00
  217    &     0.483E-12    &     0.661E-13    &     0.224E-02    &     0.134E-02    &     0.562E-04    &     0.451E-02    &     0.976E+00
  218    &     0.721E-12    &     0.986E-13    &     0.219E-02    &     0.131E-02    &     0.548E-04    &     0.440E-02    &     0.976E+00
  219    &     0.547E-12    &     0.748E-13    &     0.213E-02    &     0.128E-02    &     0.535E-04    &     0.429E-02    &     0.976E+00
  220    &     0.342E-12    &     0.467E-13    &     0.208E-02    &     0.124E-02    &     0.522E-04    &     0.419E-02    &     0.976E+00
  221    &     0.846E-12    &     0.116E-12    &     0.203E-02    &     0.121E-02    &     0.509E-04    &     0.408E-02    &     0.976E+00
  222    &     0.491E-12    &     0.671E-13    &     0.198E-02    &     0.118E-02    &     0.497E-04    &     0.398E-02    &     0.976E+00
  223    &     0.622E-12    &     0.850E-13    &     0.193E-02    &     0.115E-02    &     0.484E-04    &     0.389E-02    &     0.976E+00
  224    &     0.520E-12    &     0.710E-13    &     0.188E-02    &     0.113E-02    &     0.473E-04    &     0.379E-02    &     0.976E+00
  225    &     0.669E-12    &     0.914E-13    &     0.184E-02    &     0.110E-02    &     0.461E-04    &     0.370E-02    &     0.976E+00
  226    &     0.366E-12    &     0.500E-13    &     0.179E-02    &     0.107E-02    &     0.450E-04    &     0.361E-02    &     0.976E+00
  227    &     0.536E-12    &     0.733E-13    &     0.175E-02    &     0.105E-02    &     0.439E-04    &     0.352E-02    &     0.976E+00
  228    &     0.423E-12    &     0.578E-13    &     0.171E-02    &     0.102E-02    &     0.428E-04    &     0.343E-02    &     0.976E+00
  229    &     0.491E-12    &     0.671E-13    &     0.166E-02    &     0.995E-03    &     0.417E-04    &     0.335E-02    &     0.976E+00
  230    &     0.490E-12    &     0.670E-13    &     0.162E-02    &     0.971E-03    &     0.407E-04    &     0.327E-02    &     0.976E+00
  231    &     0.345E-12    &     0.471E-13    &     0.158E-02    &     0.947E-03    &     0.397E-04    &     0.319E-02    &     0.976E+00
  232    &     0.470E-12    &     0.642E-13    &     0.154E-02    &     0.924E-03    &     0.388E-04    &     0.311E-02    &     0.976E+00
  233    &     0.470E-12    &     0.642E-13    &     0.151E-02    &     0.901E-03    &     0.378E-04    &     0.303E-02    &     0.976E+00
  234    &     0.471E-12    &     0.644E-13    &     0.147E-02    &     0.879E-03    &     0.369E-04    &     0.296E-02    &     0.976E+00
  235    &     0.403E-12    &     0.551E-13    &     0.143E-02    &     0.858E-03    &     0.360E-04    &     0.289E-02    &     0.976E+00
  236    &     0.531E-12    &     0.726E-13    &     0.140E-02    &     0.837E-03    &     0.351E-04    &     0.282E-02    &     0.976E+00
  237    &     0.576E-12    &     0.788E-13    &     0.136E-02    &     0.816E-03    &     0.342E-04    &     0.275E-02    &     0.976E+00
  238    &     0.491E-12    &     0.671E-13    &     0.133E-02    &     0.796E-03    &     0.334E-04    &     0.268E-02    &     0.976E+00
  239    &     0.555E-12    &     0.759E-13    &     0.130E-02    &     0.777E-03    &     0.326E-04    &     0.261E-02    &     0.976E+00
  240    &     0.471E-12    &     0.644E-13    &     0.127E-02    &     0.758E-03    &     0.318E-04    &     0.255E-02    &     0.976E+00
  241    &     0.504E-12    &     0.690E-13    &     0.124E-02    &     0.739E-03    &     0.310E-04    &     0.249E-02    &     0.976E+00
  242    &     0.636E-12    &     0.869E-13    &     0.121E-02    &     0.721E-03    &     0.303E-04    &     0.243E-02    &     0.976E+00
  243    &     0.529E-12    &     0.724E-13    &     0.118E-02    &     0.704E-03    &     0.295E-04    &     0.237E-02    &     0.976E+00
  244    &     0.398E-12    &     0.544E-13    &     0.115E-02    &     0.686E-03    &     0.288E-04    &     0.231E-02    &     0.976E+00
  245    &     0.507E-12    &     0.693E-13    &     0.112E-02    &     0.670E-03    &     0.281E-04    &     0.225E-02    &     0.976E+00
  246    &     0.574E-12    &     0.784E-13    &     0.109E-02    &     0.653E-03    &     0.274E-04    &     0.220E-02    &     0.976E+00
  247    &     0.471E-12    &     0.644E-13    &     0.107E-02    &     0.637E-03    &     0.267E-04    &     0.214E-02    &     0.976E+00
  248    &     0.370E-12    &     0.506E-13    &     0.104E-02    &     0.622E-03    &     0.261E-04    &     0.209E-02    &     0.976E+00
  249    &     0.491E-12    &     0.671E-13    &     0.101E-02    &     0.606E-03    &     0.254E-04    &     0.204E-02    &     0.976E+00
  250    &     0.512E-12    &     0.701E-13    &     0.989E-03    &     0.592E-03    &     0.248E-04    &     0.199E-02    &     0.976E+00
  251    &     0.547E-12    &     0.748E-13    &     0.965E-03    &     0.577E-03    &     0.242E-04    &     0.194E-02    &     0.976E+00
  252    &     0.469E-12    &     0.641E-13    &     0.941E-03    &     0.563E-03    &     0.236E-04    &     0.189E-02    &     0.976E+00
  253    &     0.662E-12    &     0.905E-13    &     0.918E-03    &     0.549E-03    &     0.230E-04    &     0.185E-02    &     0.976E+00
  254    &     0.439E-12    &     0.600E-13    &     0.896E-03    &     0.536E-03    &     0.225E-04    &     0.180E-02    &     0.976E+00
  255    &     0.483E-12    &     0.661E-13    &     0.874E-03    &     0.523E-03    &     0.219E-04    &     0.176E-02    &     0.976E+00
  256    &     0.427E-12    &     0.584E-13    &     0.852E-03    &     0.510E-03    &     0.214E-04    &     0.172E-02    &     0.976E+00
  257    &     0.714E-12    &     0.976E-13    &     0.832E-03    &     0.497E-03    &     0.209E-04    &     0.167E-02    &     0.976E+00
  258    &     0.640E-12    &     0.875E-13    &     0.811E-03    &     0.485E-03    &     0.204E-04    &     0.163E-02    &     0.976E+00
  259    &     0.423E-12    &     0.578E-13    &     0.791E-03    &     0.473E-03    &     0.199E-04    &     0.159E-02    &     0.976E+00
  260    &     0.396E-12    &     0.542E-13    &     0.772E-03    &     0.462E-03    &     0.194E-04    &     0.155E-02    &     0.976E+00
  261    &     0.562E-12    &     0.769E-13    &     0.753E-03    &     0.450E-03    &     0.189E-04    &     0.152E-02    &     0.976E+00
  262    &     0.377E-12    &     0.516E-13    &     0.735E-03    &     0.439E-03    &     0.184E-04    &     0.148E-02    &     0.976E+00
  263    &     0.385E-12    &     0.527E-13    &     0.717E-03    &     0.429E-03    &     0.180E-04    &     0.144E-02    &     0.976E+00
  264    &     0.469E-12    &     0.641E-13    &     0.699E-03    &     0.418E-03    &     0.175E-04    &     0.141E-02    &     0.976E+00
  265    &     0.430E-12    &     0.588E-13    &     0.682E-03    &     0.408E-03    &     0.171E-04    &     0.137E-02    &     0.976E+00
  266    &     0.378E-12    &     0.517E-13    &     0.665E-03    &     0.398E-03    &     0.167E-04    &     0.134E-02    &     0.976E+00
  267    &     0.529E-12    &     0.724E-13    &     0.649E-03    &     0.388E-03    &     0.163E-04    &     0.131E-02    &     0.976E+00
  268    &     0.399E-12    &     0.545E-13    &     0.633E-03    &     0.379E-03    &     0.159E-04    &     0.127E-02    &     0.976E+00
  269    &     0.500E-12    &     0.684E-13    &     0.618E-03    &     0.369E-03    &     0.155E-04    &     0.124E-02    &     0.976E+00
  270    &     0.387E-12    &     0.529E-13    &     0.603E-03    &     0.360E-03    &     0.151E-04    &     0.121E-02    &     0.976E+00
  271    &     0.444E-12    &     0.607E-13    &     0.588E-03    &     0.352E-03    &     0.147E-04    &     0.118E-02    &     0.976E+00
  272    &     0.707E-12    &     0.966E-13    &     0.573E-03    &     0.343E-03    &     0.144E-04    &     0.115E-02    &     0.976E+00
  273    &     0.439E-12    &     0.600E-13    &     0.559E-03    &     0.335E-03    &     0.140E-04    &     0.113E-02    &     0.976E+00
  274    &     0.413E-12    &     0.565E-13    &     0.546E-03    &     0.326E-03    &     0.137E-04    &     0.110E-02    &     0.976E+00
  275    &     0.441E-12    &     0.603E-13    &     0.532E-03    &     0.318E-03    &     0.134E-04    &     0.107E-02    &     0.976E+00
  276    &     0.355E-12    &     0.486E-13    &     0.519E-03    &     0.311E-03    &     0.130E-04    &     0.105E-02    &     0.976E+00
  277    &     0.471E-12    &     0.644E-13    &     0.507E-03    &     0.303E-03    &     0.127E-04    &     0.102E-02    &     0.976E+00
  278    &     0.434E-12    &     0.594E-13    &     0.494E-03    &     0.296E-03    &     0.124E-04    &     0.995E-03    &     0.976E+00
  279    &     0.408E-12    &     0.557E-13    &     0.482E-03    &     0.288E-03    &     0.121E-04    &     0.970E-03    &     0.976E+00
 
 U(x,y):
y \ x         &         0.000    &         0.050    &         0.100    &         0.150    &         0.200    &         0.250
     0.000    &       0.00000    &       0.00000    &       0.00000    &       0.00000    &       0.00000    &       0.00000
     0.050    &       0.00000    &       0.00012    &       0.00027    &       0.00050    &       0.00085    &       0.00134
     0.100    &       0.00000    &       0.00048    &       0.00104    &       0.00176    &       0.00270    &       0.00394
     0.150    &       0.00000    &       0.00110    &       0.00232    &       0.00376    &       0.00555    &       0.00779
     0.200    &       0.00000    &       0.00197    &       0.00410    &       0.00652    &       0.00941    &       0.01290
     0.250    &       0.00000    &       0.00309    &       0.00638    &       0.01004    &       0.01427    &       0.01926
     0.300    &       0.00000    &       0.00447    &       0.00916    &       0.01431    &       0.02014    &       0.02688
     0.350    &       0.00000    &       0.00609    &       0.01245    &       0.01934    &       0.02702    &       0.03576
     0.400    &       0.00000    &       0.00797    &       0.01624    &       0.02512    &       0.03490    &       0.04590
     0.450    &       0.00000    &       0.01010    &       0.02054    &       0.03166    &       0.04379    &       0.05729
     0.500    &       0.00000    &       0.01248    &       0.02534    &       0.03895    &       0.05369    &       0.06995
     0.550    &       0.00000    &       0.01511    &       0.03064    &       0.04700    &       0.06460    &       0.08386
     0.600    &       0.00000    &       0.01800    &       0.03645    &       0.05580    &       0.07652    &       0.09904
     0.650    &       0.00000    &       0.02113    &       0.04276    &       0.06536    &       0.08944    &       0.11547
     0.700    &       0.00000    &       0.02452    &       0.04957    &       0.07568    &       0.10336    &       0.13316
     0.750    &       0.00000    &       0.02816    &       0.05689    &       0.08675    &       0.11830    &       0.15210
     0.800    &       0.00000    &       0.03205    &       0.06471    &       0.09857    &       0.13423    &       0.17230
     0.850    &       0.00000    &       0.03620    &       0.07303    &       0.11114    &       0.15117    &       0.19376
     0.900    &       0.00000    &       0.04059    &       0.08185    &       0.12447    &       0.16911    &       0.21646
     0.950    &       0.00000    &       0.04523    &       0.09118    &       0.13855    &       0.18806    &       0.24042
     1.000    &       0.00000    &       0.05013    &       0.10100    &       0.15338    &       0.20800    &       0.26562
 
 U*(x,y):
y \ x         &         0.000    &         0.050    &         0.100    &         0.150    &         0.200    &         0.250
     0.000    &       0.00000    &       0.00000    &       0.00000    &       0.00000    &       0.00000    &       0.00000
     0.050    &       0.00000    &       0.00013    &       0.00030    &       0.00054    &       0.00090    &       0.00141
     0.100    &       0.00000    &       0.00051    &       0.00110    &       0.00184    &       0.00280    &       0.00406
     0.150    &       0.00000    &       0.00114    &       0.00240    &       0.00388    &       0.00570    &       0.00797
     0.200    &       0.00000    &       0.00203    &       0.00420    &       0.00668    &       0.00960    &       0.01313
     0.250    &       0.00000    &       0.00316    &       0.00650    &       0.01022    &       0.01450    &       0.01953
     0.300    &       0.00000    &       0.00454    &       0.00930    &       0.01451    &       0.02040    &       0.02719
     0.350    &       0.00000    &       0.00617    &       0.01260    &       0.01956    &       0.02730    &       0.03609
     0.400    &       0.00000    &       0.00805    &       0.01640    &       0.02535    &       0.03520    &       0.04625
     0.450    &       0.00000    &       0.01018    &       0.02070    &       0.03189    &       0.04410    &       0.05766
     0.500    &       0.00000    &       0.01256    &       0.02550    &       0.03919    &       0.05400    &       0.07031
     0.550    &       0.00000    &       0.01519    &       0.03080    &       0.04723    &       0.06490    &       0.08422
     0.600    &       0.00000    &       0.01808    &       0.03660    &       0.05603    &       0.07680    &       0.09938
     0.650    &       0.00000    &       0.02121    &       0.04290    &       0.06557    &       0.08970    &       0.11578
     0.700    &       0.00000    &       0.02459    &       0.04970    &       0.07586    &       0.10360    &       0.13344
     0.750    &       0.00000    &       0.02822    &       0.05700    &       0.08691    &       0.11850    &       0.15234
     0.800    &       0.00000    &       0.03210    &       0.06480    &       0.09870    &       0.13440    &       0.17250
     0.850    &       0.00000    &       0.03623    &       0.07310    &       0.11124    &       0.15130    &       0.19391
     0.900    &       0.00000    &       0.04061    &       0.08190    &       0.12454    &       0.16920    &       0.21656
     0.950    &       0.00000    &       0.04524    &       0.09120    &       0.13858    &       0.18810    &       0.24047
     1.000    &       0.00000    &       0.05013    &       0.10100    &       0.15338    &       0.20800    &       0.26562
