 1) residual u*:  4.076738946423575E-013
 2) residual u0:   7.31500000000000     
 3) eps:  1.000000000000000E-003 m:         279
 4) rho:  0.987688339911341     
    k    &    ||F-A*Uk||    &     rel.d        &     ||Uk-u*||    &     rel.error    &  ||Uk - Uk-1||   &    apost.er.     &    dash_rho_k
   47    &     0.591E-12    &     0.807E-13    &     0.156E+00    &     0.930E-01    &     0.474E-02    &     0.380E+00    &     0.960E+00
   48    &     0.544E-12    &     0.743E-13    &     0.151E+00    &     0.906E-01    &     0.456E-02    &     0.365E+00    &     0.961E+00
   49    &     0.500E-12    &     0.684E-13    &     0.147E+00    &     0.882E-01    &     0.439E-02    &     0.352E+00    &     0.963E+00
   50    &     0.430E-12    &     0.588E-13    &     0.144E+00    &     0.858E-01    &     0.423E-02    &     0.339E+00    &     0.963E+00
   51    &     0.799E-12    &     0.109E-12    &     0.140E+00    &     0.836E-01    &     0.408E-02    &     0.328E+00    &     0.965E+00
   52    &     0.398E-12    &     0.544E-13    &     0.136E+00    &     0.814E-01    &     0.395E-02    &     0.317E+00    &     0.966E+00
   53    &     0.444E-12    &     0.607E-13    &     0.132E+00    &     0.792E-01    &     0.382E-02    &     0.306E+00    &     0.967E+00
   54    &     0.306E-12    &     0.418E-13    &     0.129E+00    &     0.771E-01    &     0.369E-02    &     0.296E+00    &     0.967E+00
   55    &     0.584E-12    &     0.798E-13    &     0.126E+00    &     0.751E-01    &     0.357E-02    &     0.286E+00    &     0.967E+00
   56    &     0.311E-12    &     0.425E-13    &     0.122E+00    &     0.731E-01    &     0.345E-02    &     0.277E+00    &     0.967E+00
   57    &     0.359E-12    &     0.491E-13    &     0.119E+00    &     0.712E-01    &     0.334E-02    &     0.268E+00    &     0.967E+00
   58    &     0.585E-12    &     0.800E-13    &     0.116E+00    &     0.693E-01    &     0.323E-02    &     0.259E+00    &     0.967E+00
   59    &     0.408E-12    &     0.557E-13    &     0.113E+00    &     0.675E-01    &     0.312E-02    &     0.251E+00    &     0.968E+00
   60    &     0.413E-12    &     0.565E-13    &     0.110E+00    &     0.657E-01    &     0.302E-02    &     0.243E+00    &     0.968E+00
   61    &     0.359E-12    &     0.491E-13    &     0.107E+00    &     0.640E-01    &     0.293E-02    &     0.235E+00    &     0.968E+00
   62    &     0.348E-12    &     0.476E-13    &     0.104E+00    &     0.624E-01    &     0.283E-02    &     0.227E+00    &     0.968E+00
   63    &     0.493E-12    &     0.674E-13    &     0.102E+00    &     0.607E-01    &     0.274E-02    &     0.220E+00    &     0.968E+00
   64    &     0.484E-12    &     0.662E-13    &     0.990E-01    &     0.592E-01    &     0.266E-02    &     0.213E+00    &     0.968E+00
   65    &     0.413E-12    &     0.565E-13    &     0.965E-01    &     0.577E-01    &     0.258E-02    &     0.207E+00    &     0.969E+00
   66    &     0.481E-12    &     0.658E-13    &     0.942E-01    &     0.563E-01    &     0.250E-02    &     0.201E+00    &     0.970E+00
   67    &     0.412E-12    &     0.563E-13    &     0.919E-01    &     0.550E-01    &     0.243E-02    &     0.195E+00    &     0.971E+00
   68    &     0.490E-12    &     0.670E-13    &     0.897E-01    &     0.536E-01    &     0.236E-02    &     0.190E+00    &     0.972E+00
   69    &     0.396E-12    &     0.542E-13    &     0.875E-01    &     0.523E-01    &     0.230E-02    &     0.184E+00    &     0.973E+00
   70    &     0.385E-12    &     0.527E-13    &     0.854E-01    &     0.511E-01    &     0.224E-02    &     0.179E+00    &     0.973E+00
   71    &     0.385E-12    &     0.527E-13    &     0.833E-01    &     0.498E-01    &     0.217E-02    &     0.174E+00    &     0.973E+00
   72    &     0.536E-12    &     0.733E-13    &     0.813E-01    &     0.486E-01    &     0.212E-02    &     0.170E+00    &     0.973E+00
   73    &     0.520E-12    &     0.710E-13    &     0.793E-01    &     0.474E-01    &     0.206E-02    &     0.165E+00    &     0.973E+00
   74    &     0.470E-12    &     0.642E-13    &     0.774E-01    &     0.463E-01    &     0.200E-02    &     0.161E+00    &     0.973E+00
   75    &     0.471E-12    &     0.644E-13    &     0.755E-01    &     0.451E-01    &     0.195E-02    &     0.156E+00    &     0.973E+00
   76    &     0.498E-12    &     0.681E-13    &     0.736E-01    &     0.440E-01    &     0.190E-02    &     0.152E+00    &     0.973E+00
   77    &     0.491E-12    &     0.671E-13    &     0.718E-01    &     0.430E-01    &     0.184E-02    &     0.148E+00    &     0.973E+00
   78    &     0.669E-12    &     0.914E-13    &     0.701E-01    &     0.419E-01    &     0.180E-02    &     0.144E+00    &     0.973E+00
   79    &     0.302E-12    &     0.413E-13    &     0.684E-01    &     0.409E-01    &     0.175E-02    &     0.140E+00    &     0.973E+00
   80    &     0.413E-12    &     0.565E-13    &     0.667E-01    &     0.399E-01    &     0.170E-02    &     0.136E+00    &     0.973E+00
   81    &     0.423E-12    &     0.578E-13    &     0.651E-01    &     0.389E-01    &     0.166E-02    &     0.133E+00    &     0.973E+00
   82    &     0.377E-12    &     0.516E-13    &     0.635E-01    &     0.380E-01    &     0.161E-02    &     0.129E+00    &     0.973E+00
   83    &     0.365E-12    &     0.499E-13    &     0.619E-01    &     0.370E-01    &     0.157E-02    &     0.126E+00    &     0.973E+00
   84    &     0.676E-12    &     0.924E-13    &     0.604E-01    &     0.361E-01    &     0.153E-02    &     0.123E+00    &     0.974E+00
   85    &     0.346E-12    &     0.474E-13    &     0.590E-01    &     0.353E-01    &     0.149E-02    &     0.119E+00    &     0.974E+00
   86    &     0.384E-12    &     0.525E-13    &     0.575E-01    &     0.344E-01    &     0.145E-02    &     0.116E+00    &     0.974E+00
   87    &     0.391E-12    &     0.534E-13    &     0.561E-01    &     0.336E-01    &     0.141E-02    &     0.113E+00    &     0.974E+00
   88    &     0.529E-12    &     0.724E-13    &     0.547E-01    &     0.327E-01    &     0.137E-02    &     0.110E+00    &     0.974E+00
   89    &     0.385E-12    &     0.527E-13    &     0.534E-01    &     0.319E-01    &     0.134E-02    &     0.107E+00    &     0.975E+00
   90    &     0.555E-12    &     0.759E-13    &     0.521E-01    &     0.312E-01    &     0.131E-02    &     0.105E+00    &     0.975E+00
   91    &     0.352E-12    &     0.481E-13    &     0.508E-01    &     0.304E-01    &     0.127E-02    &     0.102E+00    &     0.975E+00
   92    &     0.412E-12    &     0.563E-13    &     0.496E-01    &     0.297E-01    &     0.124E-02    &     0.997E-01    &     0.976E+00
   93    &     0.406E-12    &     0.555E-13    &     0.484E-01    &     0.289E-01    &     0.121E-02    &     0.973E-01    &     0.976E+00
   94    &     0.334E-12    &     0.457E-13    &     0.472E-01    &     0.282E-01    &     0.118E-02    &     0.949E-01    &     0.976E+00
   95    &     0.529E-12    &     0.724E-13    &     0.460E-01    &     0.275E-01    &     0.115E-02    &     0.926E-01    &     0.976E+00
   96    &     0.426E-12    &     0.583E-13    &     0.449E-01    &     0.269E-01    &     0.113E-02    &     0.903E-01    &     0.976E+00
   97    &     0.569E-12    &     0.778E-13    &     0.438E-01    &     0.262E-01    &     0.110E-02    &     0.881E-01    &     0.976E+00
   98    &     0.522E-12    &     0.714E-13    &     0.427E-01    &     0.256E-01    &     0.107E-02    &     0.860E-01    &     0.976E+00
   99    &     0.439E-12    &     0.600E-13    &     0.417E-01    &     0.249E-01    &     0.105E-02    &     0.839E-01    &     0.976E+00
  100    &     0.330E-12    &     0.450E-13    &     0.407E-01    &     0.243E-01    &     0.102E-02    &     0.818E-01    &     0.976E+00
  101    &     0.491E-12    &     0.671E-13    &     0.397E-01    &     0.237E-01    &     0.995E-03    &     0.798E-01    &     0.976E+00
  102    &     0.507E-12    &     0.693E-13    &     0.387E-01    &     0.231E-01    &     0.971E-03    &     0.779E-01    &     0.976E+00
  103    &     0.399E-12    &     0.545E-13    &     0.378E-01    &     0.226E-01    &     0.947E-03    &     0.760E-01    &     0.976E+00
  104    &     0.500E-12    &     0.684E-13    &     0.368E-01    &     0.220E-01    &     0.924E-03    &     0.741E-01    &     0.976E+00
  105    &     0.465E-12    &     0.636E-13    &     0.359E-01    &     0.215E-01    &     0.901E-03    &     0.723E-01    &     0.976E+00
  106    &     0.676E-12    &     0.924E-13    &     0.350E-01    &     0.210E-01    &     0.879E-03    &     0.705E-01    &     0.976E+00
  107    &     0.396E-12    &     0.542E-13    &     0.342E-01    &     0.205E-01    &     0.858E-03    &     0.688E-01    &     0.976E+00
  108    &     0.451E-12    &     0.617E-13    &     0.334E-01    &     0.200E-01    &     0.837E-03    &     0.671E-01    &     0.976E+00
  109    &     0.500E-12    &     0.684E-13    &     0.325E-01    &     0.195E-01    &     0.816E-03    &     0.655E-01    &     0.976E+00
  110    &     0.584E-12    &     0.798E-13    &     0.317E-01    &     0.190E-01    &     0.796E-03    &     0.639E-01    &     0.976E+00
  111    &     0.439E-12    &     0.600E-13    &     0.310E-01    &     0.185E-01    &     0.777E-03    &     0.623E-01    &     0.976E+00
  112    &     0.490E-12    &     0.670E-13    &     0.302E-01    &     0.181E-01    &     0.758E-03    &     0.608E-01    &     0.976E+00
  113    &     0.392E-12    &     0.535E-13    &     0.295E-01    &     0.176E-01    &     0.739E-03    &     0.593E-01    &     0.976E+00
  114    &     0.497E-12    &     0.680E-13    &     0.287E-01    &     0.172E-01    &     0.721E-03    &     0.578E-01    &     0.976E+00
  115    &     0.584E-12    &     0.798E-13    &     0.280E-01    &     0.168E-01    &     0.703E-03    &     0.564E-01    &     0.976E+00
  116    &     0.392E-12    &     0.535E-13    &     0.274E-01    &     0.164E-01    &     0.686E-03    &     0.551E-01    &     0.976E+00
  117    &     0.481E-12    &     0.658E-13    &     0.267E-01    &     0.160E-01    &     0.669E-03    &     0.537E-01    &     0.976E+00
