 1) residual u*:  2.193800696659309E-013
 2) residual u0:   7.31500000000000     
 3) eps:  1.000000000000000E-003 m:         414
 4) rho:  0.987763664711741     
    k    &    ||F-A*Uk||    &     rel.d        &     ||Uk-u*||    &     rel.error    &  ||Uk - Uk-1||   &    apost.er.     &    dash_rho_k
   47    &     0.778E-05    &     0.106E-05    &     0.766E-08    &     0.458E-08    &     0.184E-07    &     0.149E-05    &     0.741E+00
   48    &     0.579E-05    &     0.792E-06    &     0.590E-08    &     0.353E-08    &     0.136E-07    &     0.110E-05    &     0.742E+00
   49    &     0.432E-05    &     0.591E-06    &     0.423E-08    &     0.253E-08    &     0.101E-07    &     0.818E-06    &     0.741E+00
   50    &     0.322E-05    &     0.440E-06    &     0.323E-08    &     0.193E-08    &     0.746E-08    &     0.602E-06    &     0.742E+00
   51    &     0.240E-05    &     0.329E-06    &     0.233E-08    &     0.139E-08    &     0.556E-08    &     0.449E-06    &     0.741E+00
   52    &     0.179E-05    &     0.245E-06    &     0.177E-08    &     0.106E-08    &     0.410E-08    &     0.331E-06    &     0.742E+00
   53    &     0.134E-05    &     0.183E-06    &     0.128E-08    &     0.768E-09    &     0.306E-08    &     0.247E-06    &     0.741E+00
   54    &     0.994E-06    &     0.136E-06    &     0.973E-09    &     0.582E-09    &     0.226E-08    &     0.182E-06    &     0.742E+00
   55    &     0.742E-06    &     0.101E-06    &     0.708E-09    &     0.423E-09    &     0.168E-08    &     0.136E-06    &     0.741E+00
   56    &     0.552E-06    &     0.755E-07    &     0.534E-09    &     0.320E-09    &     0.124E-08    &     0.100E-06    &     0.742E+00
   57    &     0.412E-06    &     0.563E-07    &     0.390E-09    &     0.233E-09    &     0.924E-09    &     0.746E-07    &     0.742E+00
   58    &     0.307E-06    &     0.419E-07    &     0.294E-09    &     0.176E-09    &     0.684E-09    &     0.552E-07    &     0.742E+00
   59    &     0.229E-06    &     0.313E-07    &     0.215E-09    &     0.129E-09    &     0.508E-09    &     0.410E-07    &     0.742E+00
   60    &     0.170E-06    &     0.233E-07    &     0.161E-09    &     0.965E-10    &     0.376E-09    &     0.304E-07    &     0.742E+00
   61    &     0.127E-06    &     0.174E-07    &     0.118E-09    &     0.708E-10    &     0.280E-09    &     0.226E-07    &     0.742E+00
   62    &     0.946E-07    &     0.129E-07    &     0.887E-10    &     0.531E-10    &     0.207E-09    &     0.167E-07    &     0.742E+00
   63    &     0.705E-07    &     0.964E-08    &     0.652E-10    &     0.390E-10    &     0.154E-09    &     0.124E-07    &     0.742E+00
   64    &     0.525E-07    &     0.718E-08    &     0.488E-10    &     0.292E-10    &     0.114E-09    &     0.920E-08    &     0.742E+00
   65    &     0.391E-07    &     0.535E-08    &     0.359E-10    &     0.215E-10    &     0.847E-10    &     0.684E-08    &     0.742E+00
   66    &     0.291E-07    &     0.398E-08    &     0.268E-10    &     0.161E-10    &     0.628E-10    &     0.507E-08    &     0.742E+00
   67    &     0.217E-07    &     0.297E-08    &     0.198E-10    &     0.118E-10    &     0.466E-10    &     0.376E-08    &     0.742E+00
   68    &     0.162E-07    &     0.221E-08    &     0.148E-10    &     0.883E-11    &     0.346E-10    &     0.279E-08    &     0.742E+00
   69    &     0.121E-07    &     0.165E-08    &     0.109E-10    &     0.652E-11    &     0.257E-10    &     0.207E-08    &     0.742E+00
   70    &     0.897E-08    &     0.123E-08    &     0.813E-11    &     0.486E-11    &     0.190E-10    &     0.154E-08    &     0.742E+00
   71    &     0.669E-08    &     0.914E-09    &     0.601E-11    &     0.359E-11    &     0.141E-10    &     0.114E-08    &     0.742E+00
   72    &     0.498E-08    &     0.681E-09    &     0.448E-11    &     0.268E-11    &     0.105E-10    &     0.846E-09    &     0.742E+00
   73    &     0.371E-08    &     0.507E-09    &     0.331E-11    &     0.198E-11    &     0.778E-11    &     0.628E-09    &     0.742E+00
   74    &     0.276E-08    &     0.378E-09    &     0.246E-11    &     0.147E-11    &     0.577E-11    &     0.466E-09    &     0.742E+00
   75    &     0.206E-08    &     0.281E-09    &     0.183E-11    &     0.109E-11    &     0.429E-11    &     0.346E-09    &     0.742E+00
   76    &     0.153E-08    &     0.210E-09    &     0.136E-11    &     0.813E-12    &     0.318E-11    &     0.257E-09    &     0.743E+00
   77    &     0.114E-08    &     0.156E-09    &     0.101E-11    &     0.602E-12    &     0.237E-11    &     0.191E-09    &     0.743E+00
   78    &     0.850E-09    &     0.116E-09    &     0.749E-12    &     0.448E-12    &     0.176E-11    &     0.142E-09    &     0.743E+00
   79    &     0.633E-09    &     0.866E-10    &     0.556E-12    &     0.332E-12    &     0.131E-11    &     0.105E-09    &     0.743E+00
   80    &     0.472E-09    &     0.645E-10    &     0.413E-12    &     0.247E-12    &     0.969E-12    &     0.782E-10    &     0.743E+00
   81    &     0.351E-09    &     0.480E-10    &     0.307E-12    &     0.183E-12    &     0.720E-12    &     0.581E-10    &     0.743E+00
   82    &     0.262E-09    &     0.358E-10    &     0.228E-12    &     0.136E-12    &     0.535E-12    &     0.432E-10    &     0.743E+00
   83    &     0.195E-09    &     0.266E-10    &     0.169E-12    &     0.101E-12    &     0.397E-12    &     0.321E-10    &     0.743E+00
   84    &     0.145E-09    &     0.198E-10    &     0.126E-12    &     0.752E-13    &     0.295E-12    &     0.238E-10    &     0.743E+00
   85    &     0.108E-09    &     0.148E-10    &     0.933E-13    &     0.558E-13    &     0.219E-12    &     0.177E-10    &     0.743E+00
   86    &     0.805E-10    &     0.110E-10    &     0.694E-13    &     0.415E-13    &     0.163E-12    &     0.131E-10    &     0.743E+00
   87    &     0.600E-10    &     0.820E-11    &     0.515E-13    &     0.308E-13    &     0.121E-12    &     0.976E-11    &     0.743E+00
   88    &     0.447E-10    &     0.610E-11    &     0.383E-13    &     0.229E-13    &     0.897E-13    &     0.724E-11    &     0.743E+00
   89    &     0.333E-10    &     0.455E-11    &     0.284E-13    &     0.170E-13    &     0.667E-13    &     0.538E-11    &     0.743E+00
   90    &     0.248E-10    &     0.339E-11    &     0.211E-13    &     0.126E-13    &     0.495E-13    &     0.400E-11    &     0.743E+00
   91    &     0.184E-10    &     0.252E-11    &     0.157E-13    &     0.937E-14    &     0.368E-13    &     0.297E-11    &     0.743E+00
   92    &     0.137E-10    &     0.188E-11    &     0.116E-13    &     0.697E-14    &     0.273E-13    &     0.220E-11    &     0.743E+00
   93    &     0.102E-10    &     0.140E-11    &     0.864E-14    &     0.517E-14    &     0.203E-13    &     0.164E-11    &     0.743E+00
   94    &     0.762E-11    &     0.104E-11    &     0.643E-14    &     0.384E-14    &     0.151E-13    &     0.122E-11    &     0.743E+00
   95    &     0.567E-11    &     0.776E-12    &     0.476E-14    &     0.285E-14    &     0.112E-13    &     0.903E-12    &     0.743E+00
   96    &     0.422E-11    &     0.578E-12    &     0.355E-14    &     0.212E-14    &     0.831E-14    &     0.671E-12    &     0.743E+00
   97    &     0.315E-11    &     0.430E-12    &     0.262E-14    &     0.157E-14    &     0.617E-14    &     0.498E-12    &     0.743E+00
   98    &     0.234E-11    &     0.320E-12    &     0.196E-14    &     0.117E-14    &     0.458E-14    &     0.370E-12    &     0.743E+00
   99    &     0.174E-11    &     0.239E-12    &     0.145E-14    &     0.864E-15    &     0.341E-14    &     0.275E-12    &     0.743E+00
  100    &     0.130E-11    &     0.178E-12    &     0.108E-14    &     0.647E-15    &     0.253E-14    &     0.204E-12    &     0.742E+00
  101    &     0.967E-12    &     0.132E-12    &     0.795E-15    &     0.475E-15    &     0.188E-14    &     0.152E-12    &     0.742E+00
  102    &     0.720E-12    &     0.985E-13    &     0.598E-15    &     0.358E-15    &     0.139E-14    &     0.112E-12    &     0.742E+00
  103    &     0.537E-12    &     0.734E-13    &     0.444E-15    &     0.266E-15    &     0.103E-14    &     0.835E-13    &     0.742E+00
  104    &     0.400E-12    &     0.547E-13    &     0.444E-15    &     0.266E-15    &     0.768E-15    &     0.620E-13    &     0.743E+00
  105    &     0.298E-12    &     0.407E-13    &     0.444E-15    &     0.266E-15    &     0.571E-15    &     0.461E-13    &     0.743E+00
  106    &     0.222E-12    &     0.303E-13    &     0.444E-15    &     0.266E-15    &     0.423E-15    &     0.342E-13    &     0.742E+00
  107    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.314E-15    &     0.253E-13    &     0.742E+00
  108    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.232E-15    &     0.188E-13    &     0.741E+00
  109    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.173E-15    &     0.140E-13    &     0.743E+00
  110    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.130E-15    &     0.105E-13    &     0.748E+00
  111    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.971E-16    &     0.784E-14    &     0.748E+00
  112    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.711E-16    &     0.574E-14    &     0.739E+00
  113    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.525E-16    &     0.424E-14    &     0.735E+00
  114    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.399E-16    &     0.322E-14    &     0.749E+00
  115    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.295E-16    &     0.238E-14    &     0.749E+00
  116    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.278E-16    &     0.224E-14    &     0.834E+00
  117    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.156E-16    &     0.126E-14    &     0.728E+00
  118    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.139E-16    &     0.112E-14    &     0.707E+00
  119    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.139E-16    &     0.112E-14    &     0.943E+00
  120    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.694E-17    &     0.560E-15    &     0.707E+00
  121    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.694E-17    &     0.560E-15    &     0.707E+00
  122    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.707E+00
  123    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.707E+00
