 1) residual u*:  2.193800696659309E-013
 2) residual u0:   7.31500000000000     
 3) eps:  1.000000000000000E-003 m:         414
 4) rho:  0.987763664711741     
    k    &    ||F-A*Uk||    &     rel.d        &     ||Uk-u*||    &     rel.error    &  ||Uk - Uk-1||   &    apost.er.     &    dash_rho_k
  206    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  207    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  208    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  209    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  210    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  211    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  212    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  213    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  214    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  215    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  216    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  217    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  218    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  219    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  220    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  221    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  222    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  223    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  224    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  225    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  226    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  227    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  228    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  229    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  230    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  231    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  232    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  233    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  234    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  235    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  236    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  237    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  238    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  239    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  240    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  241    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  242    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  243    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  244    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  245    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  246    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  247    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  248    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  249    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  250    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  251    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  252    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  253    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  254    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  255    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  256    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  257    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  258    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  259    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  260    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  261    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  262    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  263    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  264    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  265    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  266    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  267    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  268    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  269    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  270    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  271    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  272    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  273    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  274    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  275    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  276    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  277    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  278    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  279    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  280    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  281    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  282    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  283    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  284    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  285    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  286    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  287    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  288    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  289    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  290    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  291    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  292    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  293    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  294    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  295    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  296    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  297    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  298    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  299    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  300    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  301    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  302    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  303    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  304    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  305    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  306    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  307    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  308    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  309    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  310    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  311    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  312    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  313    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  314    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  315    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  316    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  317    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  318    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  319    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  320    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  321    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  322    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  323    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  324    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  325    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  326    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  327    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  328    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  329    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  330    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  331    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  332    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  333    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  334    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  335    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  336    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  337    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  338    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  339    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  340    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  341    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  342    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  343    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  344    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  345    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  346    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  347    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  348    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  349    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  350    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  351    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  352    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  353    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  354    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  355    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  356    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  357    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  358    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  359    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  360    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  361    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  362    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  363    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  364    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  365    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  366    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  367    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  368    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  369    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  370    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  371    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  372    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  373    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  374    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  375    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  376    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  377    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  378    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  379    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  380    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  381    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  382    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  383    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  384    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  385    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  386    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  387    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  388    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  389    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  390    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  391    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  392    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  393    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  394    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  395    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  396    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  397    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  398    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  399    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  400    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  401    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  402    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  403    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  404    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  405    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  406    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  407    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  408    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  409    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  410    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  411    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  412    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  413    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
  414    &     0.219E-12    &     0.300E-13    &     0.444E-15    &     0.266E-15    &     0.347E-17    &     0.280E-15    &     0.100E+01
 
 U(x,y):
y \ x         &         0.000    &         0.050    &         0.100    &         0.150    &         0.200    &         0.250
